Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Sem Robberse","TOR","AA",21,88.2,0.24152542,1.09375,0.182926829,0.426829268,0.390243902,0.197916666,0.145833333,0.464,0.308,0.228,0.13400576,501,887,1388,"sa3011735"
"Pedro Garcia","CIN","AA",28,37,0.28787879,0.962962962,0.253521126,0.366197183,0.38028169,0.222222222,0.259259259,0.43835616,0.17808219,0.38356164,0.16946779,290,424,714,"sa3011805"
"Matthew Thompson","CHW","AA",22,124.1,0.2887538,1.105691056,0.224550898,0.407185628,0.368263473,0.178861788,0.121951219,0.55685131,0.21865889,0.2244898,0.1227758,948,1300,2248,"sa3011866"
"Graeme Stinson","TBR","AA",25,45.1,0.3220339,2.2,0.058823529,0.647058823,0.294117647,0.171428571,0.142857142,0.46341463,0.21138211,0.32520325,0.13451777,320,468,788,"sa3011900"
"Chris McMahon","COL","AA",24,67,0.34803922,0.728260869,0.253521126,0.31455399,0.431924882,0.217391304,0.141304347,0.43119266,0.25229358,0.31651376,0.09051349,405,744,1149,"sa3014429"
"Shane Drohan","BOS","AA",24,34,0.22222222,1.172413793,0.192307692,0.435897435,0.371794871,0.206896551,0.034482758,0.42682927,0.26829268,0.30487805,0.14653465,172,333,505,"sa3014447"
"Tyler Brown","HOU","AA",24,49,0.25396825,1.261904761,0.246031746,0.42063492,0.333333333,0.166666666,0.119047619,0.52671756,0.24427481,0.22900763,0.14269142,319,543,862,"sa3014450"
"Tanner Burns","CLE","AA",24,86.2,0.26146789,0.923913043,0.206278026,0.381165919,0.412556053,0.239130434,0.119565217,0.46491228,0.24561404,0.28947368,0.11626298,539,906,1445,"sa3014451"
"Garrett Stallings","BAL","AA",25,53.1,0.27972028,1.577777777,0.210884353,0.482993197,0.306122448,0.155555555,0.177777777,0.44078947,0.23684211,0.32236842,0.12626832,342,545,887,"sa3014457"
"Beck Way","KCR","AA",23,79.2,0.31192661,1.293333333,0.228699551,0.434977578,0.336322869,0.226666666,0.133333333,0.44493392,0.28193833,0.27312775,0.104375,690,910,1600,"sa3014462"
"Zach McCambley","MIA","AA",24,38.1,0.36633663,1.321428571,0.35,0.37,0.28,0.142857142,0.035714285,0.3627451,0.20588235,0.43137255,0.14225352,291,419,710,"sa3014478"
"Christian Chamberlain","KCR","AA",23,31.2,0.21666667,0.5,0.186440677,0.27118644,0.542372881,0.34375,0,0.35,0.3,0.35,0.13,253,347,600,"sa3014486"
"Nick Frasso","LAD","AA",24,73.2,0.34408602,1.3,0.258064516,0.419354838,0.322580645,0.333333333,0.066666666,0.4375,0.203125,0.359375,0.13790323,401,839,1240,"sa3014492"
"Nick Garcia","COL","AA",24,94.1,0.34375,0.859375,0.214521452,0.363036303,0.422442244,0.1953125,0.15625,0.45631068,0.25889968,0.28478964,0.09903382,617,1039,1656,"sa3014501"
"Tekoah Roby","STL","AA",21,58.1,0.33333333,1.134615384,0.269736842,0.388157894,0.342105263,0.307692307,0.115384615,0.42207792,0.26623377,0.31168831,0.1409545,314,587,901,"sa3014519"
"Dax Fulton","MIA","AA",21,33,0.33333333,1.551724137,0.129411764,0.529411764,0.34117647,0.172413793,0.137931034,0.47727273,0.25,0.27272727,0.12151067,235,374,609,"sa3014535"
"Chih-Jung Liu","BOS","AA",24,114.1,0.35379061,1.121495327,0.217241379,0.413793103,0.368965517,0.140186915,0.177570093,0.48986486,0.28040541,0.22972973,0.16802688,844,1239,2083,"sa3014675"
