Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Kyle Tyler","SEA","AA",26,7,11,5.6,27,26,0,0,0,0,,135,619,157,93,84,15,58,0,4,13,2,138,"22092"
"Ryan Miller","BOS","AA",27,5,3,4.027624648931906,41,1,0,0,2,3,,60.1,260,63,30,27,8,19,0,4,3,0,67,"22187"
"Tobias Myers","MIL","AA",24,10,5,5.033898677051806,27,26,1,1,0,0,,137.2,586,129,85,77,30,45,0,5,9,4,168,"22191"
"Sean Reynolds","MIA","AA",25,1,1,2.3478258435803037,24,0,0,0,9,1,,30.2,130,21,12,8,1,16,0,2,0,0,37,"22253"
"Owen White","TEX","AA",23,2,3,3.5147932167543687,12,12,0,0,0,0,,56.1,227,40,22,22,5,23,0,5,1,0,48,"22273"
"Matt Sauer","NYY","AA",24,6,4,3.424390498790499,14,13,0,0,0,0,,68.1,281,49,27,26,11,29,0,2,5,1,83,"22284"
"Angel De Jesus","DET","AA",26,1,4,4.211009763806511,32,0,0,0,2,1,,36.1,160,31,24,17,7,20,0,1,4,3,45,"22323"
"Raymond Burgos","SFG","AA",24,5,2,2.1696431527332787,26,0,0,0,2,2,,37.1,152,28,14,9,2,15,0,1,4,0,37,"22370"
"Michel Otanez","ARI","AA",25,4,2,5.454545454545454,28,0,0,0,1,5,,33,152,30,21,20,2,21,0,4,9,3,55,"22533"
"Keider Montero","DET","AA",22,10,2,4.932692669552486,15,15,0,0,0,0,,69.1,307,73,41,38,7,31,0,1,1,2,91,"22630"
"Yoendrys Gomez","NYY","AA",23,0,3,3.581632931894803,19,19,0,0,0,0,,65.1,274,47,28,26,6,37,0,1,3,2,78,"22872"
"Prelander Berroa","SEA","AA",23,5,1,2.8928573680688796,43,5,0,0,6,1,,65.1,276,45,24,21,2,39,0,2,5,1,101,"22932"
"Robinson Pina","LAA","AA",24,4,3,3.2857142857142856,19,7,0,0,0,0,,63,256,45,24,23,2,30,0,6,8,0,58,"23091"
"Jake Wong","CIN","AA",26,2,2,5.170212765957447,22,1,0,0,1,1,,47,197,43,31,27,9,15,0,1,4,1,50,"23095"
"Steven Cruz","KCR","AA",24,0,0,2.2040812894733524,29,0,0,0,9,2,,32.2,137,20,11,8,1,20,0,2,4,1,42,"23165"
"Nolan Hoffman","BAL","AA",25,1,2,3.0483874718927533,29,0,0,0,7,1,,41.1,176,40,17,14,1,12,0,3,4,1,34,"23381"
