"bpid","mlbid","Name","Age","Season","Team","G","PA","AB","H","1B","2B","3B","HR","TB","R","RBI","BB","K","HBP","SB","CS","SF","SH","GDP","GUILLEN"
133509,663728,"Cal Raleigh",27,2024,"SEA",153,628,546,120,70,16,0,34,238,73,100,70,176,6,6,1,0,6,7,57.5
136321,680474,"Max Schuemann",27,2024,"OAK",131,459,396,87,66,14,0,7,122,55,34,47,119,7,14,1,5,4,10,38.2
140000,663837,"Matt Vierling",27,2024,"DET",144,567,518,133,84,28,5,16,219,80,57,41,121,3,6,1,0,5,10,40
102519,641355,"Cody Bellinger",28,2024,"CHC",130,569,516,137,93,23,3,18,220,72,78,45,89,3,9,2,0,5,13,48.6
102876,642350,"Jose Siri",28,2024,"TB",127,448,402,75,40,16,1,18,147,50,47,31,170,7,14,7,2,4,7,46
103209,642715,"Willy Adames",28,2024,"MIL",161,688,610,153,88,33,0,32,282,93,112,74,173,1,21,4,0,3,13,49.5
103225,642731,"Thairo Estrada",28,2024,"SF",96,381,364,79,53,15,2,9,125,43,47,10,76,5,2,2,0,2,8,34.9
104926,657041,"Lane Thomas",28,2024,,130,528,472,112,68,26,3,15,189,65,63,44,137,7,32,14,0,5,8,33.8
104938,657077,"Alex Verdugo",28,2024,"NYY",148,621,559,130,88,28,1,13,199,74,61,49,93,1,2,1,2,10,15,37.8
108119,663993,"Nathaniel Lowe",28,2024,"TEX",140,565,486,129,96,16,1,16,195,62,69,71,125,4,2,0,0,4,9,41.9
109519,669394,"Jake Burger",28,2024,"MIA",137,579,535,134,81,23,1,29,246,68,76,31,150,9,1,1,0,4,11,54.4
109602,676391,"Ernie Clement",28,2024,"TOR",130,452,434,114,78,21,3,12,177,48,51,11,41,3,12,3,2,2,13,41.7
110358,676694,"Jake Meyers",28,2024,"HOU",141,513,461,101,65,20,3,13,166,51,61,35,117,10,11,3,3,4,17,35.3
110836,657757,"Gavin Sheets",28,2024,"CWS",139,501,451,105,70,24,1,10,161,35,45,43,106,4,2,2,0,3,7,40
111161,657136,"Connor Wong",28,2024,"BOS",125,487,447,125,87,24,1,13,190,54,52,28,114,9,8,7,1,2,8,35.2
120642,681807,"David Fry",28,2024,"CLE",122,392,335,88,55,18,1,14,150,44,51,42,84,9,4,1,0,4,14,45.5
125523,673490,"Ha-Seong Kim",28,2024,"SD",121,470,403,94,64,16,3,11,149,60,47,58,77,2,22,5,4,3,9,31.7
69600,606115,"Orlando Arcia",29,2024,"ATL",157,602,551,120,79,24,0,17,195,50,46,41,128,2,2,0,1,7,16,46
100502,621043,"Carlos Correa",29,2024,"MIN",86,367,319,99,63,20,2,14,165,55,54,40,61,3,0,0,0,4,6,38.2
101568,623993,"Anthony Santander",29,2024,"BAL",155,665,595,140,69,25,2,44,301,91,102,58,129,7,2,0,0,5,10,57.1
101603,624413,"Pete Alonso",29,2024,"NYM",162,695,608,146,81,31,0,34,279,91,88,70,172,13,3,0,0,4,16,41.8
102559,641487,"J.P. Crawford",29,2024,"SEA",105,451,392,79,52,16,2,9,126,55,37,52,102,6,5,0,0,1,6,43.6
102612,641680,"Jonah Heim",29,2024,"TEX",131,491,459,101,75,12,1,13,154,45,59,26,90,4,1,1,0,2,13,48.9
102668,641857,"Ryan McMahon",29,2024,"COL",153,645,567,137,89,28,0,20,225,68,65,69,185,3,4,6,0,4,10,42.6
