"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Stanek, Ryne","592773","2023","213","140",0.221,0.222,-0.0010000000000000009,0.389,0.403,-0.014000000000000012,0.3,0.31,-0.010000000000000009,"4.09","4.04","0.046"
"Middleton, Keynan","641871","2023","212","124",0.214,0.214,0,0.364,0.363,0.0010000000000000009,0.296,0.298,-0.0020000000000000018,"3.38","3.71","-0.335"
"Murphy, Chris","669684","2023","212","145",0.263,0.234,0.028999999999999998,0.416,0.361,0.05499999999999999,0.321,0.295,0.026000000000000023,"4.91","3.63","1.279"
"Keller, Brad","641745","2023","211","132",0.259,0.232,0.026999999999999996,0.364,0.381,-0.017000000000000015,0.364,0.36,0.0040000000000000036,"4.57","5.66","-1.094"
"Lauer, Eric","641778","2023","211","144",0.292,0.307,-0.015000000000000013,0.616,0.569,0.04700000000000004,0.411,0.405,0.00599999999999995,"6.56","7.54","-0.983"
"Muñoz, Andrés","662253","2023","211","117",0.217,0.204,0.013000000000000012,0.304,0.286,0.018000000000000016,0.279,0.267,0.01200000000000001,"2.94","2.95","-0.011"
"Coulombe, Danny","543056","2023","210","138",0.231,0.22,0.01100000000000001,0.323,0.347,-0.023999999999999966,0.269,0.272,-0.0030000000000000027,"2.81","3.06","-0.255"
"Hoffman, Jeff","656546","2023","208","118",0.158,0.188,-0.03,0.257,0.274,-0.017000000000000015,0.226,0.246,-0.01999999999999999,"2.41","2.50","-0.092"
"Alexander, Scott","518397","2023","208","165",0.282,0.267,0.014999999999999958,0.369,0.374,-0.0050000000000000044,0.299,0.293,0.006000000000000005,"4.66","3.58","1.075"
"Machado, Andrés","600921","2023","207","150",0.282,0.286,-0.0040000000000000036,0.521,0.513,0.008000000000000007,0.356,0.356,0,"5.22","5.52","-0.3"
"Saucedo, Tayler","642048","2023","207","135",0.234,0.246,-0.011999999999999983,0.309,0.337,-0.028000000000000025,0.298,0.313,-0.015000000000000013,"3.59","4.13","-0.543"
"Ruiz, José","614179","2023","207","141",0.292,0.268,0.023999999999999966,0.522,0.458,0.064,0.385,0.355,0.030000000000000027,"5.89","5.48","0.407"
"Armstrong, Shawn","542888","2023","207","138",0.188,0.207,-0.01899999999999999,0.272,0.306,-0.033999999999999975,0.233,0.253,-0.01999999999999999,"1.39","2.65","-1.265"
"Almonte, Yency","622075","2023","207","131",0.239,0.248,-0.009000000000000008,0.372,0.377,-0.0050000000000000044,0.314,0.32,-0.006000000000000005,"5.06","4.33","0.733"
"Marinaccio, Ron","676760","2023","205","114",0.208,0.203,0.004999999999999977,0.357,0.367,-0.010000000000000009,0.315,0.321,-0.006000000000000005,"3.99","4.36","-0.367"
"Cosgrove, Tom","676680","2023","205","137",0.173,0.186,-0.013000000000000012,0.246,0.269,-0.02300000000000002,0.238,0.254,-0.016000000000000014,"1.75","2.67","-0.917"
"May, Trevor","543507","2023","205","133",0.208,0.244,-0.036000000000000004,0.327,0.385,-0.057999999999999996,0.29,0.327,-0.03700000000000003,"3.28","4.55","-1.271"
"Schreiber, John","670167","2023","204","122",0.237,0.224,0.012999999999999984,0.399,0.367,0.03200000000000003,0.324,0.313,0.01100000000000001,"3.86","4.13","-0.273"
"Ureña, José","570632","2023","203","151",0.284,0.268,0.01599999999999996,0.597,0.5,0.09699999999999998,0.398,0.363,0.03500000000000003,"6.45","5.77","0.678"
