"bpid","mlbid","Name","Age","Season","Team","G","GS","CG","IP","W","L","SV","BS","HLD","ERA","R","ER","1B","2B","3B","HR","TB","BB","K","HBP","TBF","Pitches"
137001,663903,"Brady Singer",27,2024,"KC",32,32,0,179.7,9,13,0,0,0,3.71,77,74,116,34,3,22,281,54,170,10,762,2967
137044,669373,"Tarik Skubal",27,2024,"DET",31,31,0,192,18,4,0,0,0,2.39,54,51,99,24,4,15,219,35,228,9,753,2838
140232,663362,"Matt Waldron",27,2024,"SD",27,26,0,146.7,7,11,0,0,0,4.91,84,80,90,32,2,21,244,40,133,11,625,2450
142702,684320,"Yariel Rodríguez",27,2024,"TOR",21,21,0,86.7,1,8,0,0,0,4.47,46,43,46,16,1,11,125,40,85,3,368,1502
101582,624133,"Ranger Suárez",28,2024,"PHI",27,27,1,150.7,12,8,0,0,0,3.46,63,58,92,32,2,14,218,41,145,5,626,2354
102491,641154,"Pablo López",28,2024,"MIN",32,32,0,185.3,15,10,0,0,0,4.08,90,84,121,33,0,26,291,41,198,8,772,2982
102644,641793,"Zack Littell",28,2024,"TB",29,29,0,156.3,8,10,0,0,0,3.63,68,63,111,29,2,22,263,31,141,5,656,2485
103056,642547,"Freddy Peralta",28,2024,"MIL",32,32,0,173.7,11,9,0,0,0,3.68,74,71,92,24,1,26,247,68,200,10,725,3066
103196,642701,"Dennis Santana",28,2024,,62,0,0,71.7,3,1,3,0,12,3.89,33,31,33,18,2,4,91,21,69,4,287,1107
104779,656427,"Jack Flaherty",28,2024,,28,28,0,162,13,7,0,0,0,3.17,61,57,88,18,5,24,235,38,194,4,649,2563
104805,656550,"Grant Holmes",28,2024,"ATL",26,7,0,68.3,2,1,0,1,1,3.56,27,27,49,10,0,7,97,15,70,2,282,1024
104816,656605,"Mitch Keller",28,2024,"PIT",31,31,1,178,11,12,0,0,0,4.25,90,84,110,38,11,23,311,50,166,15,773,2851
104824,656629,"Michael Kopech",28,2024,,67,0,0,67.7,6,8,15,5,9,3.46,27,26,31,4,0,9,75,34,88,5,279,1142
104914,657006,"Justin Steele",28,2024,"CHC",24,24,1,134.7,5,5,0,0,0,3.07,54,46,76,23,0,12,170,37,135,4,555,2046
105703,656302,"Dylan Cease",28,2024,"SD",33,33,1,189.3,14,11,0,0,0,3.47,80,73,84,34,1,18,227,65,224,2,762,3188
