Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Jay Bruce","- - -",146,617,36,82,101,1,0.092382495,0.22528363,0.254054054,0.274151436,0.254054054,0.324149108,0.508108108,0.3499714573739607,0.354259577664462,118.03892699105228,-1.2533898162655532,12.968943453468878,-6.774148978292942,2.7046535015262996,"Jay Bruce",9892,457803
"Matt Carpenter","STL",145,622,23,91,69,2,0.175241157,0.20096463,0.209255533,0.274011299,0.241448692,0.383870967,0.450704225,0.3607363197710607,0.3806775243658769,124.34701332824882,-2.648385497741401,16.81565810893497,-11.223066329956055,2.6834969144244356,"Matt Carpenter",8090,572761
"Jake Lamb","ARI",149,635,30,89,105,6,0.137007874,0.239370078,0.23880597,0.286908077,0.248134328,0.357480314,0.486940298,0.35273332774064164,0.3535304654029108,110.85821309621888,-0.8626486258581281,7.99929690999689,-2.8741421699523926,2.6814271436214305,"Jake Lamb",13329,571875
"Edwin Encarnación","CLE",157,669,38,96,107,2,0.155455904,0.198804185,0.245487365,0.270618556,0.258122743,0.377245508,0.503610108,0.3729876668205089,0.3892801982038331,130.27803343997903,-5.710207471624017,19.28165633496331,-15.199488461017609,2.6080554771451463,"Edwin Encarnacion",2151,429665
"Mike Moustakas","KCR",148,598,38,75,85,0,0.056856187,0.157190635,0.248648648,0.263403263,0.272072072,0.31438127,0.52072072,0.3446868228428255,0.33801648405944407,113.14700909884664,-2.1150624067522585,7.584966107934681,-1.3515957072377205,2.5884862908669994,"Mike Moustakas",4892,519058
"Yasiel Puig","LAD",152,570,28,72,74,15,0.112280701,0.175438596,0.224448897,0.27393617,0.26252505,0.345614035,0.486973947,0.3485221981578026,0.35880271337365593,117.22622155988553,-2.5689694569446146,10.051103776872516,-3.713360071182251,2.579848878642482,"Yasiel Puig",14225,624577
"Didi Gregorius","NYY",136,570,25,73,87,3,0.043859649,0.122807017,0.191011236,0.286995515,0.286516853,0.318101933,0.477528089,0.3346988526238522,0.29415348019220133,108.50733628689201,2.347050592303276,8.329972297216397,-1.349414348602295,2.570699370677536,"Didi Gregorius",6012,544369
"Eddie Rosario","MIN",151,589,27,79,78,9,0.05942275,0.179966044,0.217712177,0.311750599,0.289667896,0.328205128,0.507380073,0.3494315684249956,0.33150479555949314,117.37798193606596,0.6835934990085661,13.312318307835449,-7.152270972728729,2.5515684572145125,"Eddie Rosario",12155,592696
"Dee Strange-Gordon","MIA",158,695,2,114,33,60,0.035971223,0.133812949,0.067381317,0.354092526,0.307810107,0.341040462,0.375191424,0.31236551770929655,0.27434808794850635,93.68651264336194,7.8644322459585965,2.2247957751537975,-0.7355482578277588,2.524723887184423,"Dee Strange-Gordon",8203,543829
"Yadier Molina","STL",136,543,18,60,82,9,0.051565377,0.136279926,0.165668663,0.284688995,0.273453093,0.311808118,0.439121756,0.31553494066110777,0.3301810644623032,94.66885894470977,-1.668434834573418,-5.3890692067490935,12.044954538345337,2.519187771379368,"Yadier Molina",7007,425877
"Ian Kinsler","DET",139,613,22,90,52,14,0.089722675,0.140293637,0.176043557,0.243792325,0.235934664,0.313213703,0.411978221,0.3125017469721418,0.32724470066515293,91.9273522991701,1.4992836099117994,-4.606217826898617,9.52612018585205,2.5071284994469774,"Ian Kinsler",6195,435079
"Manuel Margot","SDP",126,529,13,53,39,17,0.06616257,0.200378071,0.145790554,0.309139784,0.262833675,0.3125,0.408624229,0.30943672505743575,0.3009068461297785,90.14537693228215,3.2468866533599794,-3.453389154779755,10.091483354568481,2.4695450532701555,"Manuel Margot",14712,622534
"Eric Thames","MIL",138,551,31,83,63,4,0.136116152,0.295825771,0.270788913,0.309090909,0.247334754,0.359346642,0.518123667,0.36887546260278303,0.3441403260292716,125.4101597397984,-1.3307546880096197,16.664416597518944,-11.057382345199585,2.442154746748729,"Eric Thames",3711,519346
"Joey Gallo","TEX",145,532,41,85,80,7,0.140977443,0.368421052,0.327394209,0.25,0.20935412,0.332706766,0.536748329,0.36370359032841054,0.377817597416263,119.01962726295048,0.9228192092850804,13.406955387505132,-6.681748628616333,2.420221901074795,"Joey Gallo",14128,608336
"Corey Dickerson","TBR",150,629,27,84,62,4,0.055643879,0.241653418,0.207482993,0.338199513,0.282312925,0.324840764,0.489795918,0.3408550485920676,0.3114865497478004,115.93162063125705,1.4368276139721274,13.80072708434521,-10.35991096496582,2.4125784480300982,"Corey Dickerson",10762,572816
"Jackie Bradley Jr.","BOS",133,541,17,58,63,8,0.088724584,0.229205175,0.157676348,0.294460641,0.244813278,0.323475046,0.402489626,0.3128077323432297,0.3164707297709451,88.76063367930965,3.316660949960351,-4.185458155089083,10.401962518692017,2.3992127816257183,"Jackie Bradley Jr.",12984,598265
"Evan Longoria","TBR",156,677,20,71,86,6,0.067946824,0.161004431,0.163132137,0.282258064,0.261011419,0.313146233,0.424143556,0.3124846944292504,0.3095437114953287,96.52713706674474,1.3756670295260847,-1.5251556023373434,2.9876362681388855,2.3736563035231355,"Evan Longoria",9368,446334
"Matt Joyce","OAK",141,544,25,78,68,4,0.121323529,0.207720588,0.230277185,0.263313609,0.243070362,0.334558823,0.473347547,0.3427113844629596,0.3564193076875867,117.11378628713054,-0.845173666253686,10.641383213106621,-5.832698419690132,2.268970852033718,"Matt Joyce",3353,459964
"Yonder Alonso","- - -",142,521,28,72,67,2,0.130518234,0.226487523,0.235033259,0.301639344,0.266075388,0.364683301,0.501108647,0.36567414663370373,0.3629043965024243,133.01547800489584,-4.125035361386836,17.09764221849886,-12.40408992767334,2.181815933416109,"Yonder Alonso",2530,475174
"Yolmer Sánchez","CHW",141,534,12,63,59,8,0.065543071,0.207865168,0.146694215,0.320547945,0.266528925,0.318785578,0.41322314,0.3128499836013431,0.2840254887967101,95.38162795003122,0.7490991032682359,-2.29371231057735,6.0883400440216064,2.1351339243908662,"Yolmer Sanchez",11602,570560
"Nick Castellanos","DET",157,665,26,73,101,4,0.061654135,0.213533834,0.218241043,0.31263858,0.27198697,0.320300751,0.490228013,0.3408506049249405,0.37341694659497365,111.31713309149958,0.47695815609768033,9.762407649141801,-10.8549445271492,2.0798707057893058,"Nick Castellanos",11737,592206
"Orlando Arcia","MIL",153,548,15,56,53,14,0.06569343,0.182481751,0.130434783,0.317258883,0.276679841,0.324175824,0.407114624,0.30932911259280016,0.278465413335544,86.31343739701926,0.9407039722427726,-8.699182902672092,10.74919843673706,2.0778788553457392,"Orlando Arcia",13185,606115
"Yuli Gurriel","HOU",139,564,18,69,75,3,0.039007092,0.109929078,0.187145558,0.307692307,0.298676748,0.331560283,0.485822306,0.344484387240232,0.3257714068527085,118.23714899167706,-0.621161749586463,12.069401956963713,-10.894157886505127,1.9731700074788536,"Yuli Gurriel",19198,493329
"Joe Panik","SFG",138,573,10,60,53,4,0.080279232,0.094240837,0.133072407,0.301098901,0.287671232,0.347368421,0.420743639,0.328538092096787,0.30582005637032644,103.99262554454647,-1.3245050073601305,1.6159205828745726,-1.8135528564453125,1.939664117335496,"Joe Panik",11936,605412
"Jordy Mercer","PIT",145,558,14,52,58,0,0.091397849,0.157706093,0.151394422,0.283582089,0.254980079,0.326164874,0.406374501,0.30838441750325196,0.30060300473813656,88.36167826513082,-1.6017729984596372,-9.948602617908573,10.230338335037231,1.9360824726216976,"Jordy Mercer",6547,474568
"Andrew Benintendi","BOS",151,658,20,84,90,20,0.106382978,0.170212765,0.153577661,0.300668151,0.270506108,0.351598173,0.424083769,0.33209350301669194,0.339121453336967,101.9515306950623,1.367996993009001,2.95232880894464,-5.5319777727127075,1.9088256856701706,"Andrew Benintendi",17901,643217
"Trevor Story","COL",145,555,24,68,82,7,0.088288288,0.344144144,0.218687873,0.33217993,0.238568588,0.308108108,0.457256461,0.32252225393392214,0.2990529620015425,81.86306064127217,1.5627413373440504,-11.374866262642255,11.456198692321777,1.9058787442260718,"Trevor Story",12564,596115
"Max Kepler","MIN",147,568,19,67,69,6,0.082746478,0.200704225,0.181996086,0.275590551,0.242661448,0.312169312,0.424657534,0.3148944781944815,0.3010915572957212,93.75563320196252,1.3566197315230966,-3.0194235124224136,3.278871536254883,1.8951885922330542,"Max Kepler",12144,596146
"Chase Headley","NYY",147,586,12,77,61,9,0.102389078,0.225255972,0.1328125,0.341333333,0.2734375,0.352136752,0.40625,0.3290601001595551,0.3162484883031008,104.65059629380409,-0.6590822315774858,2.7033312681021995,-3.1525323763489723,1.883899721294878,"Chase Headley",4720,452104
"Jorge Polanco","MIN",133,544,13,60,74,13,0.075367647,0.143382352,0.153688525,0.277915632,0.25614754,0.312849162,0.409836065,0.3092943138595837,0.2916975399947572,89.92528634864352,2.083877115044743,-4.678143250173759,5.503525838255882,1.8725267519930955,"Jorge Polanco",13152,593871
"Trey Mancini","BAL",147,586,24,65,78,1,0.056313993,0.237201365,0.195211786,0.3515625,0.292817679,0.337883959,0.488029465,0.34927153994894433,0.3369382908033288,116.43947667061533,0.24581157183274627,12.131667662715133,-12.998555660247803,1.842328809928936,"Trey Mancini",15149,641820
