Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Austin Voth","WSN",0.29980658,0.71164021,0.47374302,0.70967742,0.86245353,0.80660377,0.42234637,0.57333333,0.09162011,0.15418994,0.24581006,"Austin Voth",15047,608723
"Trevor Williams","PIT",0.31928687,0.7325,0.48180924,0.67005076,0.85665529,0.78163265,0.39331367,0.60714286,0.10521141,0.13962635,0.24483776,"Trevor Williams",16977,592866
"Trevor Richards","TBR",0.38202247,0.74545455,0.52083333,0.61764706,0.8902439,0.76666667,0.38194444,0.58666667,0.12152778,0.12326389,0.24479167,"Trevor Richards",19309,670950
"Dakota Hudson","STL",0.31652661,0.69396552,0.46519525,0.66371681,0.88819876,0.79562044,0.39388795,0.62251656,0.0950764,0.14940577,0.24448217,"Dakota Hudson",19206,641712
"Jon Lester","CHC",0.28663446,0.68992248,0.44146825,0.73595506,0.90262172,0.83595506,0.38392857,0.58867925,0.07242063,0.17162698,0.24404762,"Jon Lester",4930,452657
"Julio Teheran","LAA",0.30523256,0.65350877,0.44405594,0.76190476,0.9261745,0.85826772,0.3986014,0.53691275,0.06293706,0.18006993,0.24300699,"Julio Teheran",6797,527054
"Randy Dobnak","MIN",0.34913793,0.66901408,0.47058824,0.66666667,0.92631579,0.80681818,0.37967914,0.54,0.09090909,0.15106952,0.24197861,"Randy Dobnak",23798,677976
"Mike Fiers","OAK",0.23762376,0.69829684,0.44432314,0.80833333,0.88501742,0.86240786,0.44868996,0.62256809,0.06113537,0.180131,0.24126638,"Mike Fiers",7754,571666
"Rick Porcello","NYM",0.31464738,0.69626168,0.48114169,0.81034483,0.89932886,0.86652542,0.4362895,0.67049808,0.06408952,0.17599186,0.24008138,"Rick Porcello",2717,519144
"Anthony DeSclafani","CIN",0.26430518,0.70638298,0.43687708,0.58762887,0.89156627,0.77946768,0.39036545,0.58860759,0.09634551,0.14285714,0.23920266,"Anthony DeSclafani",13050,543101
"Zack Wheeler","PHI",0.36097561,0.74946004,0.52782931,0.71621622,0.8443804,0.7943761,0.42949907,0.58333333,0.10853432,0.12894249,0.23747681,"Zack Wheeler",10310,554430
"Erick Fedde","WSN",0.27683616,0.64890282,0.41647059,0.76190476,0.93236715,0.86158192,0.37529412,0.61711712,0.05764706,0.16941176,0.22705882,"Erick Fedde",17425,607200
"Josh Fleming","TBR",0.38585209,0.67924528,0.48510638,0.73333333,0.88888889,0.80701754,0.33829787,0.6,0.09361702,0.13191489,0.22553191,"Josh Fleming",20418,676596
